CAR,RPM,ENG_L,COL_P,VEL,TPS,ENG_T,CONN,QUALITY
MIT_Lancer,4297,18,8,2,6,126,-20,EXCELENTE
MIT_Lancer,5744,0,5,131,0,110,-20,EXCELENTE
MIT_Lancer,2286,26,10,162,76,61,-20,EXCELENTE
MIT_Lancer,1223,40,4,145,17,143,-18,EXCELENTE
MIT_Lancer,103,13,4,101,43,181,-18,EXCELENTE
MIT_Lancer,7401,13,2,120,72,179,-25,EXCELENTE
MIT_Lancer,7252,81,11,123,89,81,-33,MUITO BOM
MIT_Lancer,54,96,2,96,2,147,-25,EXCELENTE
MIT_Lancer,5294,50,12,151,94,64,-25,EXCELENTE
MIT_Lancer,1984,17,10,140,36,155,-23,EXCELENTE
MIT_Lancer,5549,28,10,34,58,109,-32,MUITO BOM
MIT_Lancer,3740,80,4,94,19,97,-20,EXCELENTE
MIT_Lancer,2942,14,12,34,88,110,-20,EXCELENTE
MIT_Lancer,6078,12,4,69,47,156,-22,EXCELENTE
MIT_Lancer,1101,13,2,25,12,177,-22,EXCELENTE
MIT_Lancer,4968,21,11,185,6,137,-21,EXCELENTE
MIT_Lancer,4253,85,7,119,2,180,-20,EXCELENTE
MIT_Lancer,1183,53,0,81,45,77,-21,EXCELENTE
MIT_Lancer,7330,31,0,108,72,106,-22,EXCELENTE
MIT_Lancer,7825,72,6,72,98,165,-23,EXCELENTE
MIT_Lancer,814,55,12,46,32,77,-33,MUITO BOM
