CAR,RPM,ENG_L,COL_P,VEL,TPS,ENG_T,CONN,QUALITY
MIT_Lancer,7242,22,13,97,59,185,-24,EXCELENTE
MIT_Lancer,7502,53,4,169,11,167,-24,EXCELENTE
MIT_Lancer,2673,65,3,141,8,197,-23,EXCELENTE
MIT_Lancer,5236,84,9,163,80,86,-20,EXCELENTE
MIT_Lancer,5697,56,2,97,58,181,-23,EXCELENTE
MIT_Lancer,93,44,12,131,28,81,-23,EXCELENTE
MIT_Lancer,3327,39,9,30,29,99,-23,EXCELENTE
MIT_Lancer,998,90,8,101,9,168,-23,EXCELENTE
MIT_Lancer,1055,8,4,4,98,121,-23,EXCELENTE
MIT_Lancer,6080,35,8,153,36,145,-23,EXCELENTE
MIT_Lancer,1408,1,5,145,86,134,-23,EXCELENTE
